,epochs,NMI,ARI,ACC
35,35,0.647708064803028,0.47858211014543983,0.6714285714285714
36,36,0.646823167244651,0.47885044915540625,0.6723809523809524
37,37,0.6484722629202864,0.47940983752064614,0.6719047619047619
38,38,0.6477324376169592,0.4793247860724444,0.6719047619047619
39,39,0.6476696344228086,0.47884516982267794,0.6714285714285714
40,40,0.6472736794699739,0.47927352202319,0.6719047619047619
41,41,0.6458811854704583,0.47785604404141024,0.6714285714285714
42,42,0.6475268277866535,0.47891694657341705,0.6714285714285714
43,43,0.6469722499075038,0.47967149890835353,0.6723809523809524
44,44,0.647363780414556,0.4796135550655239,0.6723809523809524
45,45,0.6473425939431162,0.4784406066530449,0.6714285714285714
46,46,0.646090281613926,0.478612018622529,0.6723809523809524
47,47,0.6477791344055847,0.4790422474202558,0.6719047619047619
48,48,0.647532042104739,0.47929905030477843,0.6723809523809524
49,49,0.6461745277922304,0.4787025805904377,0.6719047619047619
50,50,0.6486754963462765,0.4807255846409928,0.6728571428571428
51,51,0.648712392961325,0.48101495013865436,0.6728571428571428
52,52,0.6475911040540973,0.4801770666140726,0.6728571428571428
53,53,0.6471957647768026,0.4796810495305825,0.6728571428571428
54,54,0.6459266618189191,0.47751870314972505,0.670952380952381
55,55,0.6472700604275499,0.48002332801786457,0.6728571428571428
56,56,0.6473881898915224,0.4794073834048708,0.6723809523809524
57,57,0.6468921825953277,0.4792901857307567,0.6723809523809524
58,58,0.648366236482654,0.4805939198926691,0.6733333333333333
59,59,0.6458295443755393,0.47822287420507675,0.6714285714285714
60,60,0.6460503971517468,0.47960080734661265,0.6733333333333333
61,61,0.6471348700986632,0.47917417257491157,0.6723809523809524
62,62,0.6450350899633553,0.47898542995339,0.6728571428571428
63,63,0.6463690302278498,0.47874977979049577,0.6723809523809524
64,64,0.6501039602515025,0.4816508903661454,0.6738095238095239
65,65,0.6460178619965327,0.47950774342975716,0.6723809523809524
66,66,0.647108152588513,0.4802423408310409,0.6733333333333333
67,67,0.647138702236649,0.4809983214609015,0.6738095238095239
68,68,0.6485638807721056,0.48094991821329264,0.6733333333333333
69,69,0.6471919133217732,0.48148433805981083,0.6738095238095239
70,70,0.6442725488381242,0.4778839041889959,0.6714285714285714
71,71,0.6496386935549687,0.48189824308450085,0.6742857142857143
72,72,0.6485066573006606,0.4808269617973145,0.6738095238095239
73,73,0.6481758563230997,0.4814676661516224,0.6742857142857143
74,74,0.6483936519324577,0.4812136232351374,0.6747619047619048
75,75,0.6493640228100648,0.4835522349874473,0.6757142857142857
76,76,0.649754065090786,0.48369891163537854,0.6761904761904762
77,77,0.6455736753817197,0.48020893863452385,0.6742857142857143
78,78,0.6471568553246891,0.48176313964758744,0.6747619047619048
79,79,0.6499459634549848,0.48342979018250376,0.6752380952380952
80,80,0.648438515084458,0.48352770221417285,0.6757142857142857
81,81,0.6502375226382312,0.4842927849843574,0.6752380952380952
82,82,0.6476462747533487,0.4809167903280847,0.6738095238095239
83,83,0.648432216010849,0.48112360593285564,0.6738095238095239
84,84,0.6494248172940975,0.48403188970686284,0.6761904761904762
85,85,0.6511615066358291,0.48493359153100696,0.6771428571428572
86,86,0.6502638849436334,0.4851444142090668,0.6766666666666666
87,87,0.6492870792945937,0.4827360108502752,0.6747619047619048
88,88,0.6485111878688904,0.48320970292369153,0.6761904761904762
89,89,0.6481681874138409,0.48259758986520035,0.6757142857142857
90,90,0.648459650973392,0.48281437155837004,0.6761904761904762
91,91,0.6515319673155667,0.48641165672014247,0.6776190476190476
92,92,0.6505127790739256,0.4865873437688429,0.6785714285714286
93,93,0.6513627404472564,0.4861054234805441,0.6776190476190476
94,94,0.649551036382419,0.48435091666834024,0.6761904761904762
95,95,0.6489565117245653,0.48432533427424607,0.6771428571428572
96,96,0.6490577317561766,0.4846857969145211,0.6771428571428572
97,97,0.6472864166308941,0.4839619368547657,0.6761904761904762
98,98,0.6491228905054967,0.4859652110648863,0.6776190476190476
99,99,0.648022495867904,0.48479503396788476,0.6785714285714286
